country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Nicaragua,,,,,,,,,,,,482,478,503,511,515,536,573,537,441,465,464,462,469,503,513,501,495,457,479,478,495,499,480,475,478,478,492,487,486,491,489,500,506,523,525,513,514,512,508,505,515,545,575,590,
Netherlands,1830,1880,2080,2270,2350,2490,2610,2760,3040,3360,3770,3860,4380,4610,4500,4320,4740,4560,4660,4870,4550,4270,3790,3940,4150,4180,4320,4390,4320,4320,4390,4600,4500,4510,4510,4780,5010,4840,4840,4730,4740,4840,4870,5020,5090,4990,4930,4910,4850,4720,5030,4640,4650,4600,4330,4230
Curaçao,,,,,,,,,,,,37.1k,36.1k,40.7k,37.6k,25.8k,28.4k,28.1k,25k,25.3k,26.5k,25k,27.4k,28.9k,19.9k,11.7k,11.1k,9540,8780,9470,10k,10.1k,10.5k,8850,9000,9060,9220,16.2k,18.8k,14.7k,15.7k,17k,16.7k,15.6k,16.2k,15.2k,14.6k,16.2k,15.3k,15.6k,13.7k,16.1k,13.4k,11.7k,12.7k,
Norway,1910,1940,2050,2180,2320,2540,2710,2820,3050,3190,3420,3410,3500,3610,3580,3650,3960,4060,4360,4470,4490,4410,4260,4430,4670,4820,5020,5050,4820,4980,4970,5110,5160,5460,5320,5390,5200,5480,5680,5910,5830,5950,5500,5930,5770,5800,5830,5860,6750,6480,6930,5650,5910,6420,5600,5820
Nepal,,,,,,,,,,,,286,288,290,290,289,288,289,289,291,292,291,292,294,295,291,294,293,293,291,295,297,296,295,299,301,302,305,307,318,330,336,334,339,340,347,344,348,358,367,376,388,370,410,426,
New Zealand,1690,1760,1790,1920,2180,2240,2290,2190,2320,2370,2460,2390,2620,2660,2880,2770,2930,3060,3030,2830,2890,2850,3010,3080,3250,3450,3460,3450,3610,3850,3850,3760,3810,3970,4060,4050,4130,4260,4160,4310,4430,4410,4340,4200,4240,4100,4050,4050,4080,4070,4230,4180,4360,4360,4550,4430
Oman,,,,,,,,,,,,123,123,133,197,303,458,860,609,875,1130,911,1310,1140,1770,1560,1380,1490,1360,1500,2340,3080,2750,2860,2830,2810,2840,3000,2980,3040,3230,3230,3360,3540,3570,3940,6030,6790,5900,5860,6500,6860,6700,6400,6070,
Pakistan,,,,,,,,,,,,280,280,286,294,299,293,296,299,305,307,315,320,325,326,332,335,355,360,367,372,369,383,392,397,402,411,409,406,417,415,409,403,412,432,439,448,462,444,441,437,431,429,432,432,
Panama,,,,,,,,,,,,1060,1160,1240,1180,975,942,907,868,907,722,753,806,840,752,710,705,738,672,620,609,646,721,717,739,735,770,785,892,862,856,951,848,833,806,882,924,888,874,947,996,1060,1080,1040,1080,
Peru,,,,,,,,,,,,656,639,648,668,671,664,672,636,618,644,632,628,563,563,536,533,535,515,464,440,423,403,422,428,449,454,431,446,467,459,437,434,421,462,485,467,501,522,543,639,645,687,678,783,
Philippines,,,,,,,,,,,,399,391,425,416,431,440,447,442,455,463,454,454,482,423,434,423,433,447,459,466,455,464,453,474,486,490,503,505,507,513,481,478,469,458,450,439,432,439,411,427,422,441,449,470,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,1830,1890,1980,1980,2030,2090,2140,2200,2290,2440,2550,2630,2690,2780,2880,3030,3160,3250,3490,3570,3560,3250,3410,3350,3210,3350,3460,3540,3500,3260,2710,2640,2570,2620,2500,2580,2680,2640,2460,2400,2320,2340,2310,2380,2380,2410,2540,2530,2560,2470,2640,2650,2570,2570,2470,2490
North Korea,,,,,,,,,,,,1260,1280,1280,1310,1330,1390,1450,1530,1620,1690,1710,1760,1800,1820,1860,1810,1710,1720,1690,1600,1500,1290,1170,1050,982,855,807,746,793,844,866,828,842,856,885,889,752,824,810,766,565,573,434,474,
Portugal,337,366,363,395,410,441,452,487,497,580,664,726,745,799,824,845,872,845,917,998,1020,1010,1120,1120,1120,1090,1210,1240,1300,1580,1680,1700,1810,1790,1830,2010,1990,2080,2240,2390,2390,2390,2480,2400,2460,2520,2390,2400,2340,2300,2220,2160,2040,2060,2030,2130
Paraguay,,,,,,,,,,,,555,557,588,569,543,563,597,650,643,677,658,653,650,643,639,647,726,755,801,757,761,739,748,798,853,853,907,876,819,752,752,735,741,739,723,737,756,785,787,833,834,844,823,848,
Qatar,,,,,,,,,,,,6960,6860,8750,6870,10.5k,7240,7640,6660,10.8k,11.9k,14.1k,15.4k,15k,16.2k,15.4k,15.7k,15.6k,15.7k,15.5k,14.8k,15.8k,16k,16.1k,15.7k,15.8k,16.3k,18.5k,18.4k,18.5k,16.9k,17.8k,19.1k,18.9k,21.4k,19.6k,19.3k,18k,15.7k,15k,16.1k,17.3k,20k,19.8k,19.9k,
Romania,,,,,,,,,,,,2060,2130,2300,2290,2430,2590,2740,2920,2880,2940,2900,2880,2890,2860,2860,2920,3030,3030,2990,2680,2230,2050,2000,1890,2050,2110,1990,1820,1610,1610,1660,1760,1830,1800,1810,1880,1900,1930,1710,1730,1780,1740,1600,1590,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5940,5870,5360,5060,4430,4290,4250,4070,3980,4140,4220,4290,4290,4460,4490,4540,4690,4710,4820,4530,4820,5050,5170,5080,4940,
Saudi Arabia,,,,,,,,,,,,1150,930,1020,1080,1110,1220,1300,1850,2320,3060,3960,4230,4410,3710,3570,3410,3900,4270,4100,3620,4050,4450,4470,4570,4470,4660,4330,4490,4450,4540,4550,4920,4860,5060,5020,5350,5320,5710,5850,6310,5910,6500,6100,6650,
Sudan,,,,,,,,,,,,602,593,591,575,553,531,525,511,494,502,485,487,486,474,485,483,467,491,485,504,495,487,465,526,514,514,513,507,549,506,517,549,522,510,507,530,499,493,496,495,484,407,406,405,
Senegal,,,,,,,,,,,,276,272,276,276,275,274,274,268,274,274,265,256,249,255,239,243,252,233,225,224,216,223,216,209,216,216,224,231,238,247,261,259,245,256,254,248,260,264,308,306,315,304,273,283,
Singapore,,,,,,,,,,,,1290,1570,1710,1800,1640,1690,1760,2210,2130,2130,2120,1990,2200,2460,2470,2630,2760,2980,2900,3780,4170,4590,5490,6460,5350,5360,5820,5080,4590,4630,5150,5070,6220,7370,5060,5260,4680,5090,4260,5010,5070,4900,4880,5120,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,123,120,120,127,,,,,,,,
El Salvador,,,,,,,,,,,,472,493,509,508,554,626,633,656,627,559,598,611,576,577,538,459,502,459,462,460,497,510,530,555,584,554,608,621,640,666,693,704,733,726,747,785,741,741,692,695,699,686,645,655,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2200,2020,1710,1570,1810,2180,2300,2300,1690,1830,1990,2120,2220,2420,2160,2300,2250,2290,2070,2140,2240,2020,2080,1860,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2,61,62.4,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,241,266,266,259,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,1390,952,999,1080,1220,1150,1080,1120,1120,1310,1270,1400,1230,1210,
Slovak Republic,,,,,,,,,,,,3130,3220,3340,3460,3540,3630,3780,3930,3970,3980,3870,3750,3770,3930,4020,3980,4070,4110,4080,4020,3610,3410,3330,3260,3320,3360,3360,3260,3270,3290,3460,3480,3470,3420,3500,3470,3320,3410,3110,3310,3210,3080,3130,2940,3000
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2860,2780,2580,2720,2830,3050,3180,3310,3250,3240,3220,3380,3420,3460,3570,3650,3650,3630,3840,3500,3580,3570,3420,3330,3240,3170
Sweden,2700,2740,2890,3080,3270,3440,3640,3630,4000,4300,4680,4450,4530,4770,4510,4760,5150,5050,5020,5230,4870,5100,4880,4940,5220,5660,5880,5760,5850,5590,5510,5650,5370,5330,5660,5700,5830,5670,5770,5660,5360,5680,5800,5650,5850,5710,5530,5470,5380,4880,5430,5270,5270,5150,4970,5100
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362,,,,,,,,,,,,,,381,372,377,390,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,3100,2750,2870,2410,,,,,,,,
Syria,,,,,,,,,,,,364,292,294,365,407,446,479,506,634,502,579,672,746,829,743,737,793,795,773,843,892,829,810,822,845,868,918,997,968,947,947,959,939,956,1120,1110,1090,1080,985,970,875,657,541,538,
Togo,,,,,,,,,,,,321,320,312,304,310,303,314,316,320,313,310,316,298,299,296,313,321,318,319,326,324,319,323,364,366,395,377,391,435,421,409,413,425,418,415,403,406,412,487,474,464,451,451,453,
Thailand,,,,,,,,,,,,372,380,401,400,424,450,468,476,492,481,476,471,424,460,489,504,547,613,674,759,812,852,886,966,1040,1150,1160,1070,1130,1150,1170,1280,1380,1470,1500,1520,1570,1610,1590,1730,1710,1820,1950,1930,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,913,733,567,429,376,356,350,366,362,343,331,325,325,345,338,342,359,335,286,285,280,295,320,337,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4710,3980,2640,2600,3220,3240,2780,2740,2830,3290,3260,3270,3370,3710,3820,3920,3960,4450,4440,3840,4310,4600,4680,4710,4720,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,59.8,59.3,59.8,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,,,543,540,537,544,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,2640,2650,2570,2570,2200,2410,2700,3200,3270,3390,3560,3530,3620,4040,4240,4370,4070,4410,4250,4730,4660,5090,4840,4840,4700,5540,5200,6020,7000,7390,8210,8880,9880,10.3k,11.8k,13.1k,13.8k,13.3k,13.4k,14.2k,13.9k,13.5k,13.6k,13.5k,
Tunisia,,,,,,,,,,,,319,340,345,374,377,391,413,442,468,497,500,480,532,549,557,535,530,543,528,586,568,619,591,627,625,643,655,705,720,738,771,774,787,822,800,835,854,883,849,944,890,917,921,920,
Turkey,389,384,408,417,429,440,471,476,488,502,512,538,594,640,649,674,719,772,752,700,713,705,733,759,771,800,843,917,905,921,970,940,952,993,964,1040,1110,1150,1150,1120,1180,1080,1120,1160,1190,1230,1340,1420,1380,1350,1460,1530,1570,1530,1560,1630
Tanzania,,,,,,,,,,,,538,524,509,489,472,460,444,434,423,415,409,402,398,393,388,385,380,375,373,371,369,365,363,355,361,358,354,368,381,391,401,411,416,429,437,440,443,446,447,458,471,485,488,489,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860,4850,4210,3730,3190,3180,2940,2840,2710,2720,2720,2760,2810,3030,3030,3030,2940,3000,2910,2490,2890,2770,2690,2550,2330,
Uruguay,,,,,,,,,,,,861,873,841,824,851,858,853,869,923,895,859,760,700,669,661,678,716,763,778,722,779,855,794,754,802,879,888,909,987,939,821,768,762,866,891,958,951,1240,1240,1220,1310,1380,1360,1390,
USA,5640,5610,5770,5990,6140,6310,6590,6810,7070,7330,7570,7640,7940,8160,7910,7660,8100,8290,8440,8330,7940,7650,7260,7200,7440,7460,7380,7620,7850,7890,7670,7630,7680,7710,7760,7760,7840,7830,7800,7920,8060,7830,7840,7790,7880,7850,7700,7760,7490,7060,7160,7030,6870,6910,6960,6800
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260,2290,2110,2150,2080,1880,1900,1900,2080,2110,2060,2050,2110,2020,1960,1800,1820,1780,1820,1590,1510,1610,1630,1420,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,586,598,628,632,,,,,,,,
Venezuela,,,,,,,,,,,,1520,1430,1530,1760,1750,1760,1830,1920,1930,2150,2240,2170,2280,2160,2090,2130,2080,1950,1960,2000,2040,2230,2030,2310,2120,2210,2160,2230,2080,2100,2130,2270,2050,2150,2110,2310,2110,2320,2300,2520,2310,2480,2300,,
Vietnam,,,,,,,,,,,,308,304,311,285,296,259,262,262,266,272,269,271,273,270,267,273,283,279,267,267,265,271,288,283,297,308,327,344,350,364,384,415,431,473,496,504,537,568,614,674,666,671,664,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,141,138,139,153,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,,,,,,,,,,,298,302,301,304,,,,,,,,
Yemen,,,,,,,,,,,,105,79.9,131,105,88,104,109,112,110,138,132,150,153,155,157,164,187,192,189,188,220,231,193,194,212,210,217,225,247,255,275,259,281,298,309,321,305,312,336,317,260,228,306,,
South Africa,,,,,,,,,,,,1970,1950,2020,2030,2090,2110,2100,2150,2170,2220,2380,2520,2500,2640,2560,2580,2580,2590,2400,2280,2320,2120,2230,2270,2350,2370,2400,2350,2360,2330,2370,2310,2450,2650,2620,2570,2730,2900,2810,2740,2690,2620,2590,2690,
Zambia,,,,,,,,,,,,821,850,873,884,812,876,837,819,800,808,796,789,777,763,754,744,737,754,733,709,711,704,688,676,671,649,660,649,634,632,633,635,636,634,633,625,604,603,596,596,609,618,632,,
Zimbabwe,,,,,,,,,,,,1010,1000,1030,1010,970,993,940,920,922,921,877,850,839,824,852,872,922,905,899,919,950,956,902,890,895,877,854,860,904,846,838,818,777,753,787,798,775,714,721,737,787,815,833,,
